S.NO,department,Location Of Job,University
1,Chemical,Calagary,NO
2,Music,Winnipeg,NO
3,Music,Vancour,NO
4,Electrical,Calagary,yes
5,CS,Edmonton,yes
6,Physics,Hamilton,yes
7,Electrical,Ottawa,yes
8,Music,Quebec,yes
9,Physics,Calagary,yes
10,Bio,Kitchener,NO
11,Music,Quebec,NO
12,Chemical,Ottawa,yes
13,Electrical,Edmonton,NO
14,astronomy,Kitchener,NO
15,Physics,Kitchener,yes
16,Physics,Ottawa,yes
17,Math,Edmonton,yes
18,Bio,Quebec,NO
19,Electrical,Kitchener,yes
20,Music,Vancour,yes
21,Physics,Quebec,NO
22,Music,Quebec,yes
23,Bio,Winnipeg,NO
24,Chemical,Hamilton,NO
25,Chemical,Hamilton,yes
26,CS,Ottawa,NO
27,Math,Calagary,yes
28,Music,Hamilton,yes
29,Music,Winnipeg,NO
30,Bio,Hamilton,yes
31,astronomy,Winnipeg,yes
32,Chemical,Kitchener,NO
33,Physics,Quebec,NO
34,Physics,Winnipeg,NO
35,astronomy,Kitchener,yes
36,Electrical,Ottawa,yes
37,Electrical,Ottawa,yes
38,Chemical,Ottawa,yes
39,Math,Calagary,yes
40,Bio,Kitchener,NO
41,Bio,Calagary,yes
42,Electrical,Vancour,yes
43,Music,Kitchener,NO
44,Electrical,Edmonton,NO
45,Chemical,Kitchener,NO
46,Math,Vancour,NO
47,CS,Ottawa,NO
48,Chemical,Calagary,yes
49,Chemical,Quebec,NO
50,Electrical,Quebec,yes
51,Music,Vancour,NO
52,Music,Calagary,NO
53,astronomy,Edmonton,NO
54,astronomy,Winnipeg,NO
55,Math,Winnipeg,NO
56,Music,Calagary,NO
57,astronomy,Hamilton,yes
58,Chemical,Ottawa,NO
59,Math,Edmonton,NO
60,Bio,Ottawa,NO
61,Music,Ottawa,NO
62,Electrical,Quebec,NO
63,Math,Vancour,yes
64,astronomy,Edmonton,yes
65,astronomy,Edmonton,yes
66,Bio,Edmonton,NO
67,Music,Winnipeg,NO
68,Music,Quebec,NO
69,Electrical,Winnipeg,yes
70,Chemical,Ottawa,NO
71,Chemical,Winnipeg,NO
72,CS,Edmonton,yes
73,Math,Vancour,NO
74,Electrical,Kitchener,NO
75,Electrical,Quebec,NO
76,Electrical,Kitchener,NO
77,Electrical,Edmonton,NO
78,Math,Edmonton,yes
79,Physics,Edmonton,yes
80,Bio,Winnipeg,NO
81,Math,Kitchener,NO
82,Electrical,Quebec,yes
83,Bio,Hamilton,yes
84,astronomy,Ottawa,yes
85,Electrical,Edmonton,yes
86,Chemical,Vancour,NO
87,Math,Vancour,NO
88,CS,Edmonton,NO
89,astronomy,Hamilton,NO
90,Physics,Vancour,NO
